x,y,size
114.743,34.034,1
47.296,-83.972,3
20.327,104.044,2
-52.54,-74.766,3
-28.497,-87.475,1
-64.045,-65.595,2
39.688,-94.205,3
40.126,-92.149,3
76.216,-65.796,3
-84.636,57.423,3
-95.682,2.984,2
104.554,-15.787,2
-42.129,-77.936,3
56.55,91.71,3
-4.291,-93.108,2
100.732,-4.552,1
14.238,101.496,3
-83.428,9.518,1
-88.824,-39.768,1
-69.526,59.026,2
101.692,-26.398,1
-76.057,-45.975,1
87.605,64.406,3
-82.897,61.354,1
-77.503,-35.996,3
3.046,-93.034,1
49.426,-90.839,3
-51.688,80.449,1
26.965,104.605,2
-88.419,5.072,2
-55.007,-68.547,2
51.135,99.826,3
110.916,-0.309,2
-78.546,50.384,1
111.423,42.271,3
111.933,-26.6,1
109.811,13.817,3
-54.702,75.537,3
-34.859,88.324,2
-67.686,66.505,1
-6.42,106.668,2
-93.044,16.775,3
-27.787,102.792,1
20.439,-99.268,3
83.094,-58.037,1
101.794,-21.565,1
-33.583,98.247,1
72.855,-69.929,3
-11.929,-88.655,1
110.698,15.563,2
114.899,3.308,3
16.277,-94.544,2
40.626,100.224,1
-55.997,72.418,1
-83.284,-14.869,3
-44.05,93.068,1
86.988,-46.662,3
-5.762,101.056,2
-42.687,-78.029,3
113.749,0.877,1
19.889,104.402,3
99.907,-24.21,1
-96.829,-15.084,3
-90.125,-8.661,1
-31.043,-91.291,2
76.494,-56.917,2
103.006,-7.214,2
-68.025,-57.021,1
4.343,105.001,3
36.043,-90.214,1
33.527,104.977,3
-70.866,59.792,3
116.98,12.804,1
-92.987,2.723,3
2.675,99.302,3
30.668,-90.332,2
-55.848,-72.251,1
112.058,30.309,1
49.252,-93.561,2
-24.638,96.236,1
72.262,-78.316,3
105.187,38.642,1
-83.835,55.914,3
92.013,72.288,2
63.637,-72.524,3
-52.778,-76.601,2
11.235,-94.443,2
95.833,-59.242,3
-87.828,-38.032,2
82.783,81.618,2
-82.633,6.181,3
-65.865,-58.429,2
75.908,81.924,3
23.398,103.491,1
35.68,103.94,1
39.451,102.025,2
98.168,64.03,3
-50.394,-74.802,2
-33.305,89.441,2
-62.133,64.03,1
11.074,103.589,3
6.853,-97.977,2
99.109,-48.458,1
109.772,-31.398,2
-82.869,49.482,2
-68.52,-59.529,2
44.667,99.956,1
-79.492,-34.792,3
-83.062,22.931,2
-7.306,104.398,3
-91.698,-18.919,2
-60.157,76.685,3
17.827,-89.048,1
-58.197,-74.001,2
-86.829,-39.096,1
-41.045,-80.767,1
16.461,-99.102,2
102.766,-24.247,3
-83.952,-39.164,3
-34.412,96.241,2
-48.173,95.932,1
50.468,92.06,1
4.957,-97.709,1
-7.396,-97.785,2
40.777,-89.121,2
28.329,104.878,1
-89.777,11.717,2
-52.03,-67.19,3
23,-93.19,3
-66.135,79.641,1
-57.694,84.275,2
68.501,93.095,2
27.042,99.187,1
-80.751,-44.468,2
-76.48,-37.564,2
-79.899,-44.372,2
58.631,-89.775,3
110.319,12.645,1
-43.085,92.919,2
21.332,-93.113,3
61.207,89.004,1
61.269,85.055,3
116.314,-9.754,3
100.121,56.031,3
96.369,-35.683,1
110.424,39.476,1
-52.394,79.867,3
-95.591,13.953,2
96.559,63.941,2
75.537,-79.745,3
-71.403,-59.129,3
98.849,36.866,1
-90.516,0.512,3
52.241,87.034,1
-23.028,-92.33,1
3.917,-96.278,2
31.637,-92.864,3
20.809,-92.957,3
-34.698,-86.349,2
101.337,-9.731,2
-74.972,35.584,1
-56.222,88.082,2
-78.841,52.645,3
60.786,-85.865,1
-89.157,-25.609,2
30.406,-89.068,1
-16.567,95.115,3
71.498,-66.094,1
17.503,-93.456,1
-55.513,77.373,1
36.507,106.149,2
111.048,-6.413,2
-96.971,6.314,1
115.672,34.777,3
-95.594,14.832,1
7.362,-99.219,2
53.986,94.113,2
-89.091,23.431,2
92.053,-58.693,1
-28.16,93.881,2
100.898,-31.434,3
-54.433,93.36,2
-20.381,-87.878,3
-5.125,108.977,1
-19.895,-87.735,1
94.803,-39.11,2
-85.069,22.337,1
44.231,-87.208,3
101.545,-35.495,2
-81.626,54.56,2
-4.09,98.58,3
-18.99,99.202,3
100.993,59.779,3
111.71,-22.252,3
64.129,-78.105,2
11.1,108.128,1
-70.982,52.068,3
