x,y,size
78.551,9.096,1
84.088,-9.152,1
28.66,26.411,2
41.592,26.555,2
74.823,-8.208,3
60.715,-27.879,1
86.671,-6.899,2
76.148,10.873,3
48.401,-3.988,2
70.443,-24.798,1
60.585,-0.656,1
64.305,24.07,2
88.688,22.786,3
75.547,-23.027,3
33.513,-29.896,1
63.349,-27.136,3
77.76,0.714,1
64.537,20.417,3
26.71,-15.357,2
40.415,20.999,3
36.534,5.609,1
41.343,-26.142,3
60.94,-0.997,1
28.137,-9.157,2
55.663,19.259,2
53.221,-34.876,2
73.533,12.73,1
61.348,22.431,1
56.555,-4.261,1
24.452,15.331,1
81.487,-27.727,1
61.581,-23.804,2
70.035,3.85,2
73.049,16.144,3
35.1,-8.01,3
26.096,-26.121,3
49.034,-3.852,3
41.781,22.591,2
53.644,-31.453,3
53.943,-1.831,3
22.728,-5.408,1
66.673,0.948,3
71.283,-1.503,1
74.397,28.161,3
55.606,-29.622,1
79.342,24.207,3
90.623,-16.634,1
30.881,1.799,1
91.327,27.522,2
88.743,-28.729,1
-65.298,27.092,2
-76.018,9.012,1
-85.249,21.659,3
-89.546,28.054,2
-85.658,-12.89,1
-44.668,25.329,2
-42.489,-3.362,3
-38.6,-1.064,1
-68.226,28.045,1
-29.467,29.716,3
-88.367,-18.086,3
-57.833,18.139,2
-61.73,-31.457,3
-72.501,-13.386,3
-73.323,11.827,3
-72.425,8.207,2
-62.146,18.138,2
-47.951,19.218,3
-50.89,17.789,1
-46.453,-2.056,1
-43.953,-6.088,2
-80.438,29.795,1
-44.592,-34.368,1
-57.135,4.8,2
-84.167,13.672,3
-49.246,9.468,1
-38.808,-4.921,3
-71.194,-34.548,1
-30.593,13.355,1
-73.574,27.048,2
-41.718,-27.102,3
-24.816,32.794,2
-44.938,2.963,1
-38.072,33.251,1
-68.537,-17.286,2
-36.494,12.725,3
-80.159,30.568,3
-83.451,-28.383,3
-47.457,13.416,3
-48.171,21.925,3
-59.091,-24.155,3
-46.969,-6.037,2
-89.433,22.036,1
-84.739,0.524,1
-80.402,-19.338,1
-83.613,-17.08,1
-24.356,22.309,3
-71.954,-19.898,3
-85.444,20.669,1
-30.072,13.945,3
16.365,88.226,2
10.871,132.149,1
25.817,107.164,1
32.4,67.84,3
-15.757,107.465,2
-22.048,89.209,1
-0.198,126.001,3
18.363,110.738,3
14.6,101.172,1
-19.467,115.177,3
-13.073,106.042,1
33.143,120.293,1
-4.03,119.963,2
7.71,70.397,2
-22.04,124.907,1
-12.588,107.77,1
-21.007,96.673,1
6.828,116.993,3
2.67,123.279,2
-2.053,104.803,2
-15.754,99.377,2
-8.911,125.192,2
-27.506,128.949,3
21.34,130.241,1
-7.905,81.942,1
9.985,133.191,1
18.95,90.411,1
-14.437,94.808,3
14.85,96.911,2
20.87,128.4,3
34.932,90.563,3
-19.835,88.865,1
27.221,85.375,3
-32.408,88.246,2
-11.537,93.693,2
-24.28,73.354,2
0.734,115.622,3
-16.562,92.679,3
-7.095,71.747,1
7.458,127.934,3
18.535,118.012,1
30.991,133.903,1
14.144,75.232,2
29.049,96.041,1
-6.716,113.03,3
-18.388,65.106,1
-9.817,68.252,3
-10.321,113.729,2
-26.569,121.663,2
-32.39,109.898,1
0.715,-19.001,2
11.029,-1.739,3
-9.092,-19.171,1
3.243,-12.323,1
12.778,-11.639,1
6.694,-6.121,2
-2.588,-2.271,1
-12.38,-17.415,3
5.611,-4.353,2
-14.812,1.258,3
8.363,-1.096,2
8.158,-9.847,1
8.338,-11.431,1
-13.426,2.835,3
-10.891,-1.455,2
-6.184,1.323,3
8.498,-14.9,1
-5.873,-13.464,1
14.818,-17.153,1
13.327,-24.258,3
-2.624,1.385,2
-11.237,-12.168,3
0.715,-16.613,1
-14.456,0.411,2
-8.788,-8.978,3
11.258,-1.701,1
6.824,-23.922,3
-12.429,-12.791,1
-3.802,3.332,3
7.687,-14.833,3
14.449,-12.731,3
-1.191,-18.117,1
-12.604,-13.499,1
-13.189,-0.486,3
10.341,-19.833,2
13.619,-17.023,3
-3.616,-6.356,2
3.467,-19.694,2
-13.296,-17.129,2
10.784,-17.72,2
-3.021,-24.937,1
8.302,-14.423,1
12.268,-7.274,3
9.159,0.472,1
14.59,-10.16,2
-5.508,-19.176,3
14.03,1.62,1
-4.592,0.401,1
8.269,-17.732,3
-1.224,0.369,1
12.328,-10.058,3
-14.709,-23.52,2
-11.722,4.811,1
-7.643,0.745,1
-6.436,-9.165,2
-4.358,-19.158,2
2.218,-1.138,1
-9.12,-3.964,3
7.224,-19.306,2
8.764,-13.015,3
-3.468,-1.139,1
10.607,-11.841,3
9.324,-3.535,1
-13.522,-2.985,1
-12.144,-5.371,1
-9.503,-6.421,1
-13.48,-4.236,3
7.686,-11.474,1
-1.624,-1.208,3
2.586,-10.413,2
4.937,-21.042,3
11.377,-19.549,2
-8.137,-11.727,1
4.038,-19.21,2
3.747,0.885,3
2.713,-21.907,2
0.515,1.217,3
-6.222,-15.468,2
-14.479,-24.651,1
-5.034,-9.655,2
15.195,21.758,2
-10.972,31.427,3
-2.482,29.99,1
